Rider,95.5435,114.409,0.111825,2-14,2,16,41.5,52.2,31.1,31.5,19.4,12.9,32.8,33.6,65.2171,42.9,51.7,25.4,35.3,0,0,43.4,53.2,28,38.8,65.2171,,,,2026,,,,-9.81611,70.3,
"Boston College",101.802,102.125,0.490899,7-10,7,17,46.3,46.5,35.6,34,15.9,15.3,29.8,28.9,65.9171,48.2,46.9,29.3,30.4,0,0,47.5,48.2,44,36.4,65.9171,,,,2026,,,,-5.81852,66.1,
Arizona,125.446,92.9395,0.969206,17-0,17,17,57.1,45.8,42.2,29.7,16.2,18.3,41,24.5,72.0079,57.7,44.2,37.1,32.4,0,0,58.4,50.5,27.6,36,72.0079,,,,2026,,,,5.59624,73.9,
"Penn St.",115.889,109.173,0.665196,9-8,9,17,53.5,55.8,32.2,26.3,13.8,19.5,28.8,30.2,67.4134,56.3,57.1,32.8,36.2,0,0,48.7,58,39,43.7,67.4134,,,,2026,,,,-2.60815,73.9,
Hawaii,106.221,96.8566,0.742954,13-3,13,16,52.9,43,42.3,34.5,19.5,17.8,32.9,25.5,69.4837,56.4,44.1,31.6,27.1,0,0,52.7,37.7,38.6,31.9,69.4837,,,,2026,,,,-1.24725,71.5,
"San Diego",106.952,109.346,0.436709,7-12,7,19,50.8,53.5,28.2,38.8,18,20.4,26.8,38,69.8807,51.5,57.5,33.2,31.7,0,0,58.8,56.4,44.9,40.2,69.8807,,,,2026,,,,-7.36206,76.3,
"UC Davis",110.698,111.846,0.470373,10-7,10,17,54.5,52.3,40.7,41.8,19,18.4,26.1,31.3,69.2489,56.3,51.2,34.8,35.9,0,0,60,54.7,43.9,39.3,69.2489,,,,2026,,,,-3.80878,76.4,
LSU,120.83,105.313,0.829296,12-5,12,17,56,48,43.7,33.7,16.1,14.9,33.7,28.4,67.772,58.8,45.7,34,34.3,0,0,52.6,46.9,36,40,67.772,,,,2026,,,,-0.588476,77.4,
"Fresno St.",104.146,102.248,0.552677,8-9,8,17,50.6,51.3,31.3,29.6,19.8,20,29.5,29,68.6618,52.3,57.3,32.1,28.8,0,0,53.6,51.1,41.5,42.5,68.6618,,,,2026,,,,-5.1288,76.5,
UMKC,97.6742,116.524,0.11616,4-15,4,19,47.3,55.9,32.4,32.7,19.5,16.5,28.5,36.2,69.4231,48.6,57,29.8,35.9,0,0,45.6,51.5,34.3,37.1,69.4231,,,,2026,,,,-11.1312,70,
Baylor,123.53,108.102,0.822623,11-6,11,17,54.4,48.9,38,26.3,16.2,15.6,39.5,34.1,68.4185,53.9,48.5,36.8,33.1,0,0,53.9,47.3,39.1,34.1,68.4185,,,,2026,,,,0.0907926,73,
"Oral Roberts",102.679,113.944,0.231986,5-14,5,19,48.9,54.6,35,42.7,18.9,16.5,27,36.6,67.8368,49.6,54.3,32.1,36.7,0,0,46.7,45,46.2,36.5,67.8368,,,,2026,,,,-10.0487,74.1,
Ohio,107.616,112.471,0.375786,10-9,10,19,51.7,52.6,36.6,34.1,17.7,17.1,29.9,33.8,69.597,56.5,52.2,29.2,35.4,0,0,44.4,48.9,37.8,35.2,69.597,,,,2026,,,,-5.52613,68.8,
Winthrop,114.09,113.303,0.519903,12-8,12,20,50.5,52.5,40.9,36.7,14,16.8,35.3,29.3,68.5188,51,53,33.3,34.6,0,0,50.2,46.6,44.2,42.8,68.5188,,,,2026,,,,-4.09992,72.3,
"Northern Illinois",99.5097,114.477,0.166404,5-11,5,16,48.2,55.9,39.9,40.2,23.3,17.2,34.5,32.9,68.1803,48.8,59.6,31.7,33.3,0,0,51.9,52.4,45.7,38.3,68.1803,,,,2026,,,,-7.70137,65.4,
"Georgia Tech",107.727,106.297,0.538367,10-8,10,18,50.4,46.8,36,33.7,18.9,16.1,32.3,29.8,70.8674,49,48.4,35.6,29.8,0,0,63.8,56,30.7,43.2,70.8674,,,,2026,,,,-4.23729,70.1,
"Kent St.",113.712,111.408,0.558583,14-4,14,18,54.2,54.1,44.4,40.4,18.7,16.8,35.4,29.8,72.6323,54.4,52.3,36,37.6,0,0,59.4,58.1,45.6,43.1,72.6323,,,,2026,,,,-1.3307,75.2,
"High Point",119.3,110.368,0.709922,16-4,16,20,55.8,50.8,43.5,36,13.2,21.4,32.1,30.4,70.0482,57.8,52.4,35.3,32.4,0,0,53.1,53.5,42.1,41.6,70.0482,,,,2026,,,,-2.20164,72.1,
"Weber St.",111.456,111.951,0.487284,10-8,10,18,52,51.1,40.6,38.3,16.6,16.7,32.9,29.9,69.1393,51.3,55.4,35.6,29.1,0,0,49,47.7,33,36.9,69.1393,,,,2026,,,,-4.79509,70,
Maine,91.8806,111.834,0.0944837,3-16,3,19,48,49.9,35.2,35.5,21.3,18.7,24.1,36,65.0333,49.7,52,29.9,30.7,0,0,49,51.9,35.5,36.8,65.0333,,,,2026,,,,-13.2275,62.3,
Radford,107.417,117.617,0.260515,10-9,10,19,50.2,52.9,41.1,43.9,16.1,18.3,29.6,33.2,72.1455,52,52.4,32.2,35.7,0,0,48.1,52.8,47.6,38.1,72.1455,,,,2026,,,,-6.08482,72.3,
Kansas,122.411,95.0003,0.948598,13-5,13,18,53.9,44.5,32.9,27.5,15,14.3,28.9,29.5,67.8698,53.8,45.4,35.9,28.8,0,0,54.5,47.9,37.3,43.4,67.8698,,,,2026,,,,2.74578,75.9,
SMU,124.224,104.877,0.875105,13-4,13,17,56.1,49.8,35.9,34.3,16.2,18.7,35.9,31.3,69.1156,57.4,51.7,35.7,31.6,0,0,56.5,59.6,33.6,44.4,69.1156,,,,2026,,,,1.6463,77.2,
Richmond,113.213,108.322,0.624308,13-5,13,18,54.9,50.3,39.9,30.5,14.7,17.8,27.4,28.5,68.5513,51.7,53.1,39.6,31.3,0,0,56.3,45.5,41.1,45.9,68.5513,,,,2026,,,,-2.68751,75.1,
Providence,122.144,110.671,0.756637,9-9,9,18,54.9,51,35.6,32.6,15.3,14.5,30.9,32.2,73.0579,56.9,47.3,34.8,37.5,0,0,51.5,57.3,41.4,41.1,73.0579,,,,2026,,,,-2.67624,76.9,
Louisville,124.863,100.421,0.924504,12-5,12,17,55.4,45.9,36.3,36.3,15.9,17.6,35.2,26.7,70.5068,60.1,44.2,34.3,32.3,0,0,60.4,47.9,54.3,40.6,70.5068,,,,2026,,,,0.903456,76.8,
Davidson,110.006,105.345,0.621968,11-6,11,17,53.6,50.9,35.1,35.2,16.9,17.1,28.4,30.3,64.5568,51.5,52.5,37.6,32.2,0,0,54.9,47.3,43.6,37.4,64.5568,,,,2026,,,,-2.24606,65.6,
"North Florida",110.793,125.049,0.1991,3-15,3,18,52.2,57.3,24.1,34.4,18.9,13.6,23.4,41.1,71.069,51.8,61.1,35.1,34.2,0,0,52.5,52.9,52.7,38.7,71.069,,,,2026,,,,-9.96724,79.7,
