Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
19,Vanderbilt,SEC,14,8-6,123,98.7,0.9262,52.2,50.1,12.8,16.6,29.1,34.1,40.5,38.1,52.3,51.3,34.6,32.1,43.1,37.9,68.9,+1.2
93,Liberty,CUSA,16,15-1,118.5,110.7,0.6864,60.5,52.4,13.5,17.7,18.6,32.6,36.4,24.2,61.7,49.5,39.5,38.1,46.5,38.3,65.5,+1.3
40,Iowa,B10,16,9-7,120.5,101.6,0.8767,53.1,53.7,15.2,18.7,29,30.2,30.8,40.2,54.8,56.6,33.9,32.9,42.1,39.8,64,+1.4
44,Missouri,SEC,14,8-6,120.5,102.7,0.863,52.9,50.7,17,13.5,33.3,33.2,47.7,37.8,53.8,48.3,34.2,36.1,36.4,42,66.4,+1.4
52,UCF,B12,14,8-6,120.3,105.2,0.8239,51.6,55.4,15.7,15,29.5,27.8,28,32.8,50.8,58.2,35.3,33.8,35.3,36.9,69,+1.4
15,Louisville,ACC,14,9-5,124.6,98.6,0.9367,56,51,17.2,15.5,31.9,26.4,31.1,31.2,58.4,49.4,35.9,35.6,52,40.6,71,+1.5
31,Ohio St.,B10,16,9-7,125.3,103.5,0.9007,54.4,51.1,15.1,15.4,31.8,34.7,34.1,35.8,56.5,53.2,34.1,32,38.7,40.8,66.3,+1.5
61,Stephen F. Austin,Slnd,19,18-1,112.8,100.8,0.7843,51.6,47.4,14.1,17.5,34.7,27.7,34.6,26.2,49.7,48.3,36.2,30.5,40.1,37.1,66.9,+1.5
33,BYU,B12,14,8-6,126,105,0.8899,53.3,52.9,15.6,13,34.7,27.7,35.8,33.1,55.1,52.7,33.8,35.5,39.5,36.4,70,+1.6
37,North Carolina,ACC,14,9-5,123.5,103.5,0.8835,53.9,53.6,12.7,13.5,29.7,28.6,36.9,25.1,56.3,50.5,33.6,39.1,41.6,37.6,68.6,+1.6
43,Kentucky,SEC,14,8-6,120,102.1,0.8655,51.7,50.7,15.6,14.6,34.6,34.1,41.8,37.7,50.4,50.2,35.9,34.4,37.3,38.5,67.6,+1.8
45,Miami FL,ACC,14,10-4,120.4,103.2,0.8541,53.2,54.7,15.9,16,34.7,22.6,39.1,27,56.4,53.2,30.5,38,30.5,38.8,67.7,+1.8
71,Miami OH,MAC,14,14-0,119.6,108.5,0.7532,60.5,52.3,15,17.5,25.1,27.7,44.4,30.5,63.7,53.3,37.9,33.7,46.1,37.6,70.9,+1.9
22,Utah St.,MWC,16,13-3,125.3,101.1,0.9216,58.8,48.3,15,19.6,34.3,32.1,36.6,37.5,61,46.5,37.2,34.1,42.4,39.3,68.2,+2.0
23,Saint Louis,A10,14,13-1,122.4,98.8,0.9215,62.1,42.6,17,15.9,28.3,28.7,32,38.4,57.8,42.8,44.8,28.2,46.2,41.4,72,+2.2
